soil_type,moisture_content,bulk_density,grain_size,foundation_depth,field_observation_score,bearing_capacity,safety_class
Clay,8.52,15.85,Medium,1.26,5,129.13,Moderate
Sand,14.09,21.48,Medium,2.97,5,378.39,Safe
Sand,36.78,20.27,Fine,1.06,4,234.02,Safe
Clay,22.01,17.04,Fine,0.69,1,62.97,Unsafe
Silt,37.45,21.74,Fine,0.7,1,163.35,Moderate
Silt,29.73,17.06,Coarse,1.93,5,207.09,Safe
Sand,8.69,21.33,Medium,2.33,2,287.13,Safe
Sand,18.97,18.88,Fine,1.06,2,206.01,Safe
Sand,24.52,16.71,Medium,0.91,5,255.11,Safe
Clay,16.73,16.69,Medium,2.58,3,149.42,Moderate
Sand,21.24,20.59,Fine,2.84,5,320.31,Safe
Silt,15.95,15.57,Coarse,2.15,5,237.17,Safe
Sand,9.25,17.9,Coarse,1.87,3,308.7,Safe
Clay,9.87,18.91,Fine,0.87,1,130.85,Moderate
Gravel,16.09,17.87,Fine,1.78,2,252.69,Safe
Sand,31.81,14.39,Fine,2.15,1,200.93,Safe
Sand,12.25,21.54,Coarse,2.59,2,364.98,Safe
Silt,29.91,18.6,Fine,1.06,1,149.6,Moderate
Sand,19.87,15.61,Medium,2.04,5,214.3,Safe
Gravel,7.7,18.62,Medium,1.94,3,349.03,Safe
Silt,9.92,18.68,Medium,1.06,2,184.92,Moderate
Silt,22.28,15.43,Coarse,1.26,3,176.02,Moderate
Sand,23.64,15.58,Coarse,2.44,2,243.64,Safe
Gravel,27.2,15.17,Coarse,2.7,3,328.6,Safe
Sand,31.99,16.75,Coarse,1.23,5,256.83,Safe
Clay,32.09,16.09,Fine,2.29,1,64.15,Unsafe
Clay,6.29,14.65,Coarse,1.65,5,148.8,Moderate
Sand,13.47,14.78,Medium,1.25,2,220.21,Safe
Silt,36.15,18.95,Fine,1.31,3,186.56,Moderate
Silt,17.56,17.85,Fine,1.51,4,172.6,Moderate
Silt,11.36,17.35,Coarse,0.54,4,205.62,Safe
Gravel,27.42,14.5,Coarse,1.44,3,324.86,Safe
Silt,19.88,15.11,Fine,2.35,5,196.16,Moderate
Clay,9.71,21.49,Fine,2.28,1,164.18,Moderate
Clay,23.95,19.62,Fine,2.92,4,146.41,Moderate
Clay,19.79,17.48,Coarse,2.24,5,159.32,Moderate
Clay,36.98,18.59,Medium,1.53,2,70.74,Unsafe
Sand,34.89,17.81,Coarse,1.87,5,306.23,Safe
Sand,26.93,21.77,Fine,2.5,1,241.02,Safe
Sand,35.3,15.21,Fine,2.7,2,232.0,Safe
Silt,14.84,17.53,Medium,0.91,3,185.52,Moderate
Sand,15.27,21.53,Coarse,1.03,4,324.17,Safe
Silt,28.54,14.99,Coarse,1.5,1,177.39,Moderate
Clay,32.81,14.48,Coarse,0.81,1,50.0,Unsafe
Sand,22.94,18.39,Medium,1.21,2,225.28,Safe
Clay,7.33,20.81,Fine,1.93,2,190.58,Moderate
Sand,37.08,19.46,Coarse,2.39,5,292.74,Safe
Clay,14.36,19.09,Medium,2.11,2,155.88,Moderate
Sand,31.2,15.97,Coarse,0.56,2,220.2,Safe
Sand,15.97,15.42,Medium,1.96,4,230.29,Safe
Silt,20.2,15.29,Coarse,2.56,5,260.58,Safe
Clay,19.66,15.67,Medium,0.95,4,87.11,Unsafe
Sand,39.33,18.76,Medium,0.82,5,238.06,Safe
Sand,28.25,14.99,Coarse,1.15,1,215.78,Safe
Sand,26.07,15.68,Medium,2.46,3,267.72,Safe
Gravel,17.01,16.52,Fine,2.55,5,291.69,Safe
Clay,7.35,16.44,Medium,1.81,4,163.15,Moderate
Clay,33.52,17.57,Medium,1.93,2,76.43,Unsafe
Clay,32.88,14.56,Medium,2.63,5,92.97,Unsafe
Sand,12.66,17.4,Fine,1.75,3,231.98,Safe
Sand,38.9,20.97,Medium,0.64,4,282.32,Safe
Silt,37.25,21.13,Coarse,2.54,2,295.08,Safe
Clay,14.46,17.02,Coarse,0.86,1,124.96,Moderate
Sand,11.58,19.34,Fine,0.54,5,212.93,Safe
Clay,27.57,16.98,Medium,1.31,1,75.73,Unsafe
Silt,29.23,16.61,Coarse,2.45,4,251.49,Safe
Clay,24.78,17.14,Coarse,1.26,1,87.69,Unsafe
Sand,25.43,16.79,Coarse,0.77,1,201.9,Safe
Silt,15.64,15.81,Fine,1.54,3,157.9,Moderate
Clay,25.26,15.01,Medium,1.16,2,59.19,Unsafe
Silt,23.98,16.25,Medium,1.4,2,151.68,Moderate
Silt,8.97,16.82,Fine,1.59,2,154.66,Moderate
Sand,7.31,19.05,Fine,2.98,5,297.77,Safe
Silt,37.84,21.44,Medium,0.69,5,227.22,Safe
Clay,38.35,16.73,Fine,0.55,4,50.0,Unsafe
Gravel,23.29,17.32,Medium,1.92,4,286.42,Safe
Clay,31.03,17.43,Coarse,1.21,3,78.98,Unsafe
Silt,10.32,17.16,Fine,2.2,2,206.25,Safe
Silt,31.4,16.5,Coarse,0.86,1,152.01,Moderate
Sand,20.59,21.81,Medium,1.23,5,328.58,Safe
Sand,20.13,20.64,Fine,2.51,3,311.03,Safe
Silt,19.13,14.34,Fine,1.48,3,121.14,Moderate
Gravel,15.0,16.27,Medium,2.98,4,343.67,Safe
Sand,20.19,16.46,Coarse,1.7,3,282.26,Safe
Sand,24.34,14.48,Coarse,2.37,4,265.49,Safe
Clay,8.99,21.46,Coarse,2.83,1,282.75,Safe
Clay,12.07,16.18,Medium,0.79,3,118.9,Moderate
Gravel,12.52,16.48,Medium,1.28,1,288.79,Safe
Silt,27.49,15.48,Coarse,2.47,2,195.57,Moderate
Sand,25.92,16.4,Medium,1.52,3,232.14,Safe
Sand,15.17,18.52,Medium,2.69,3,315.19,Safe
Sand,27.26,14.95,Medium,2.79,5,233.38,Safe
Clay,16.38,17.18,Fine,2.72,3,132.79,Moderate
Sand,31.66,18.53,Coarse,2.41,2,261.27,Safe
Gravel,31.58,15.24,Coarse,2.65,4,400.0,Safe
Clay,10.48,20.13,Coarse,0.58,1,148.04,Moderate
Sand,13.41,19.74,Medium,0.76,3,217.24,Safe
Sand,34.35,21.35,Medium,2.02,5,289.38,Safe
Silt,6.08,19.51,Fine,2.79,1,248.69,Safe
Clay,39.96,19.14,Fine,1.34,3,65.84,Unsafe
Sand,23.96,17.17,Medium,1.87,3,227.56,Safe
Gravel,23.25,17.42,Coarse,2.52,3,386.65,Safe
Clay,8.47,20.61,Coarse,2.02,3,209.95,Safe
Clay,32.15,20.02,Medium,1.7,5,142.96,Moderate
Clay,38.04,15.67,Fine,1.62,3,50.0,Unsafe
Silt,34.24,17.77,Medium,2.59,1,184.29,Moderate
Clay,17.09,21.9,Fine,0.62,5,176.85,Moderate
Clay,15.48,19.38,Medium,1.7,4,189.6,Moderate
Gravel,33.6,16.33,Coarse,2.12,3,348.06,Safe
Sand,13.59,18.52,Fine,1.18,5,215.97,Safe
Clay,30.71,20.55,Medium,1.9,1,121.98,Moderate
Clay,38.64,14.17,Fine,1.87,1,50.0,Unsafe
Clay,28.54,14.64,Medium,2.37,4,98.05,Unsafe
Clay,15.25,19.02,Medium,1.83,1,155.79,Moderate
Clay,15.5,16.88,Coarse,0.55,1,107.74,Moderate
Sand,39.06,14.66,Medium,2.1,2,184.5,Moderate
Silt,26.35,15.06,Coarse,1.52,1,174.02,Moderate
Gravel,35.15,20.62,Medium,1.14,5,382.12,Safe
Silt,16.31,16.66,Medium,2.96,2,208.41,Safe
Sand,7.19,14.05,Coarse,1.03,1,222.73,Safe
Clay,36.23,21.82,Fine,1.27,4,103.19,Moderate
Silt,5.19,17.86,Medium,1.47,3,190.33,Moderate
Silt,23.69,21.66,Fine,0.62,5,207.68,Safe
Silt,34.6,21.9,Medium,1.3,4,216.28,Safe
Sand,20.39,18.08,Medium,2.82,1,293.92,Safe
Silt,37.61,16.37,Fine,2.99,4,212.95,Safe
Gravel,26.36,18.76,Medium,1.28,4,369.86,Safe
Clay,33.15,20.38,Fine,1.82,3,103.22,Moderate
Sand,13.12,15.83,Coarse,1.52,4,259.79,Safe
Sand,23.13,16.0,Fine,0.55,5,202.0,Safe
Sand,33.76,14.13,Medium,2.14,4,225.7,Safe
Clay,25.2,15.15,Coarse,0.76,2,57.26,Unsafe
Clay,37.66,15.52,Fine,2.41,5,68.61,Unsafe
Silt,6.02,18.08,Medium,0.6,4,166.73,Moderate
Sand,18.59,21.46,Coarse,0.59,4,272.56,Safe
Clay,15.05,19.85,Fine,0.57,4,139.5,Moderate
Clay,37.92,21.45,Fine,2.0,1,103.62,Moderate
Sand,14.16,16.37,Coarse,2.45,1,265.33,Safe
Gravel,8.88,18.79,Medium,2.8,1,319.42,Safe
Silt,11.6,17.09,Fine,1.54,5,206.98,Safe
Silt,34.0,15.06,Fine,2.02,2,154.74,Moderate
Sand,35.71,14.42,Fine,2.33,4,196.16,Moderate
Clay,30.64,21.27,Coarse,1.63,3,136.2,Moderate
Silt,33.93,18.45,Coarse,0.77,1,171.92,Moderate
Clay,13.14,21.73,Medium,0.76,4,194.15,Moderate
Silt,10.8,18.9,Coarse,2.18,3,261.24,Safe
Silt,38.85,20.27,Fine,2.5,4,202.51,Safe
Gravel,26.45,17.73,Coarse,2.36,4,400.0,Safe
Sand,5.42,21.0,Fine,1.28,1,252.69,Safe
Clay,23.17,18.88,Coarse,0.64,5,130.84,Moderate
Clay,26.53,15.75,Coarse,2.75,5,152.61,Moderate
Sand,38.82,14.5,Fine,2.24,1,148.62,Moderate
Gravel,21.87,20.8,Fine,1.05,1,253.86,Safe
Gravel,37.83,17.62,Fine,1.7,3,253.85,Safe
Clay,17.21,20.28,Medium,2.46,5,195.89,Moderate
Clay,5.61,18.68,Medium,1.18,5,185.7,Moderate
Clay,27.08,21.04,Medium,2.85,3,171.0,Moderate
Silt,21.98,15.89,Fine,1.49,4,156.69,Moderate
Clay,19.15,18.51,Coarse,2.25,3,191.29,Moderate
Silt,34.34,17.77,Fine,1.03,1,129.62,Moderate
Silt,37.42,20.86,Medium,2.62,3,252.69,Safe
Silt,34.2,14.44,Coarse,1.08,3,154.29,Moderate
Sand,9.48,21.37,Medium,2.13,2,305.76,Safe
Clay,34.83,21.94,Medium,2.74,2,142.06,Moderate
Sand,22.74,15.11,Fine,1.31,5,202.43,Safe
Silt,7.19,18.78,Medium,2.53,4,228.63,Safe
Sand,33.1,15.82,Coarse,1.74,5,229.61,Safe
Silt,5.13,14.03,Coarse,0.82,2,170.18,Moderate
Sand,24.67,14.78,Medium,2.72,5,261.84,Safe
Sand,6.24,20.78,Fine,1.02,5,292.29,Safe
Gravel,21.19,18.42,Medium,2.74,3,388.41,Safe
Sand,7.18,20.52,Coarse,2.59,3,352.61,Safe
Gravel,20.76,14.4,Medium,0.68,3,288.79,Safe
Silt,34.63,15.37,Coarse,1.52,1,141.83,Moderate
Silt,34.95,19.68,Fine,1.44,3,155.63,Moderate
Sand,5.18,19.43,Coarse,1.24,1,286.02,Safe
Silt,37.13,16.15,Medium,2.51,1,175.09,Moderate
Sand,12.42,17.33,Medium,2.89,4,265.38,Safe
Clay,22.14,19.74,Coarse,1.35,4,161.62,Moderate
Sand,8.69,19.81,Medium,1.81,3,279.37,Safe
Clay,24.4,18.89,Fine,1.5,2,90.94,Unsafe
Sand,28.99,17.02,Coarse,1.77,3,304.06,Safe
Sand,34.66,21.1,Fine,1.8,2,242.76,Safe
Gravel,21.5,14.09,Fine,2.48,2,246.54,Safe
Sand,16.44,19.19,Fine,1.18,5,225.18,Safe
Sand,10.42,18.3,Coarse,0.94,1,228.09,Safe
Clay,7.65,21.34,Coarse,2.2,1,227.6,Safe
Sand,27.67,18.05,Fine,2.33,3,229.53,Safe
Sand,29.67,18.44,Fine,2.6,5,295.93,Safe
Silt,7.0,15.38,Coarse,1.19,5,232.98,Safe
Sand,12.67,14.11,Medium,1.52,4,217.82,Safe
Sand,34.26,21.78,Fine,2.65,2,238.9,Safe
Gravel,7.05,21.23,Coarse,2.47,5,400.0,Safe
Clay,13.77,21.28,Medium,1.75,4,185.93,Moderate
Silt,25.83,19.56,Fine,0.85,3,165.3,Moderate
Silt,29.63,17.29,Fine,1.37,5,146.72,Moderate
Silt,12.37,20.49,Fine,2.18,1,189.3,Moderate
Sand,25.02,17.41,Fine,1.81,4,208.91,Safe
Sand,38.28,15.05,Medium,0.78,3,154.08,Moderate
Silt,27.9,19.94,Medium,0.78,3,164.55,Moderate
Clay,9.41,18.57,Fine,1.85,2,130.62,Moderate
Sand,11.68,15.63,Fine,0.76,2,171.16,Moderate
Sand,26.05,14.88,Coarse,1.55,5,286.69,Safe
Clay,34.64,20.63,Medium,2.11,1,117.42,Moderate
Gravel,30.63,20.86,Fine,1.51,2,293.02,Safe
Sand,29.63,18.38,Fine,1.25,2,173.61,Moderate
Silt,34.1,18.51,Fine,2.09,3,210.23,Safe
Sand,28.79,20.87,Coarse,1.14,4,356.15,Safe
Sand,16.0,17.14,Fine,2.3,5,259.31,Safe
Sand,9.22,14.1,Fine,2.14,4,234.62,Safe
Clay,21.96,16.06,Fine,0.82,4,86.2,Unsafe
Clay,22.46,20.47,Medium,2.47,2,162.04,Moderate
Sand,20.89,17.56,Medium,2.22,4,250.07,Safe
Sand,27.21,18.83,Medium,0.65,1,216.92,Safe
Gravel,11.88,17.43,Medium,2.53,3,315.09,Safe
Gravel,35.81,21.07,Fine,1.7,1,307.69,Safe
Silt,23.47,17.37,Coarse,2.94,5,289.19,Safe
Sand,21.54,19.0,Fine,1.11,4,208.58,Safe
Sand,13.86,18.42,Coarse,1.4,3,250.83,Safe
Gravel,6.21,16.32,Coarse,2.33,1,386.74,Safe
Silt,7.69,18.57,Medium,1.56,5,212.62,Safe
Gravel,11.28,21.77,Medium,2.48,5,400.0,Safe
Gravel,19.25,20.61,Medium,0.7,5,356.49,Safe
Clay,28.16,19.05,Medium,2.52,4,144.46,Moderate
Gravel,8.1,21.16,Fine,2.27,2,354.52,Safe
Sand,17.18,14.73,Medium,2.67,4,278.25,Safe
Silt,29.54,21.94,Coarse,1.61,5,294.94,Safe
Clay,28.01,18.39,Medium,2.43,3,146.32,Moderate
Silt,25.57,16.4,Coarse,0.79,2,158.77,Moderate
Clay,16.69,21.48,Coarse,2.5,3,205.3,Safe
Clay,36.16,19.35,Coarse,2.99,3,132.81,Moderate
Clay,28.55,17.72,Fine,2.33,5,114.56,Moderate
Clay,24.72,19.54,Fine,1.5,4,128.49,Moderate
Gravel,21.69,14.32,Coarse,1.43,1,307.76,Safe
Clay,22.61,18.59,Medium,1.79,3,148.11,Moderate
Sand,37.96,21.35,Medium,2.38,5,338.69,Safe
Gravel,28.68,15.97,Medium,1.98,4,281.2,Safe
Sand,18.74,21.57,Coarse,1.43,1,293.25,Safe
Clay,23.96,14.94,Coarse,2.83,2,136.64,Moderate
Gravel,33.17,17.14,Medium,1.64,5,291.08,Safe
Clay,17.44,15.49,Coarse,1.07,5,130.86,Moderate
Sand,32.7,17.43,Medium,0.88,2,229.9,Safe
Silt,33.39,19.35,Coarse,1.64,1,230.33,Safe
Silt,37.65,20.42,Medium,2.69,3,230.34,Safe
Sand,6.26,15.51,Medium,1.03,3,204.14,Safe
Clay,30.51,14.08,Fine,0.83,3,50.0,Unsafe
Silt,26.12,20.71,Medium,1.48,3,198.03,Moderate
Silt,28.38,14.21,Coarse,0.67,1,121.49,Moderate
Sand,39.76,16.63,Fine,0.73,4,186.09,Moderate
Sand,34.33,14.71,Fine,2.22,5,191.14,Moderate
Clay,25.71,15.01,Coarse,1.26,3,81.2,Unsafe
Silt,5.0,19.31,Medium,2.05,2,209.88,Safe
Silt,5.48,16.98,Fine,2.4,4,197.71,Moderate
Silt,21.58,15.59,Coarse,1.87,5,226.21,Safe
Clay,10.61,15.32,Medium,2.07,3,151.44,Moderate
Clay,25.69,19.43,Medium,1.29,4,141.38,Moderate
Sand,22.59,19.99,Fine,2.16,3,256.55,Safe
Silt,17.42,20.65,Coarse,0.93,4,278.09,Safe
Clay,23.13,19.86,Medium,1.66,5,171.62,Moderate
Silt,14.88,18.54,Medium,1.5,3,215.5,Safe
Silt,30.83,15.43,Fine,1.51,3,153.8,Moderate
Gravel,36.29,21.83,Coarse,1.82,3,400.0,Safe
Silt,17.08,18.62,Coarse,1.27,3,255.82,Safe
Clay,33.77,19.04,Fine,1.32,5,97.83,Unsafe
Clay,32.11,15.46,Fine,0.94,3,50.0,Unsafe
Sand,30.0,21.95,Medium,1.66,1,269.57,Safe
Clay,26.3,17.67,Medium,2.52,4,155.91,Moderate
Silt,14.02,16.18,Medium,1.28,4,173.17,Moderate
Gravel,14.64,21.96,Medium,0.68,2,376.59,Safe
Silt,17.52,15.16,Fine,0.99,1,113.87,Moderate
Sand,30.5,21.28,Medium,1.74,5,319.71,Safe
Clay,33.91,15.08,Medium,2.39,3,62.51,Unsafe
Gravel,38.85,17.01,Fine,1.67,2,281.84,Safe
Sand,28.19,16.5,Fine,0.63,5,164.67,Moderate
Clay,36.72,20.55,Medium,2.65,2,116.75,Moderate
Clay,24.59,18.98,Medium,1.83,4,133.79,Moderate
Sand,30.15,17.94,Medium,2.81,4,281.77,Safe
Clay,6.38,14.49,Medium,2.82,4,184.7,Moderate
Silt,27.73,19.99,Medium,1.91,4,240.12,Safe
Sand,29.69,17.22,Fine,3.0,4,265.02,Safe
Clay,12.39,15.08,Coarse,1.06,1,114.1,Moderate
Gravel,35.45,18.65,Coarse,1.31,5,337.7,Safe
Clay,13.78,19.47,Medium,1.09,2,164.94,Moderate
Sand,27.69,20.75,Coarse,2.44,5,323.86,Safe
Silt,29.59,21.83,Coarse,1.67,5,259.76,Safe
Silt,32.14,20.74,Coarse,1.75,4,273.01,Safe
Silt,39.25,15.99,Medium,2.8,5,194.86,Moderate
Sand,13.78,18.77,Medium,1.78,2,248.67,Safe
Clay,10.15,18.63,Coarse,2.96,1,215.06,Safe
Sand,6.36,18.39,Fine,1.39,5,270.85,Safe
Clay,21.04,17.34,Medium,1.48,5,134.8,Moderate
Silt,29.11,20.01,Fine,0.68,1,176.38,Moderate
Gravel,18.46,19.41,Coarse,1.64,2,400.0,Safe
Silt,8.29,21.48,Fine,2.79,1,213.19,Safe
Clay,20.74,17.45,Medium,0.81,3,87.65,Unsafe
Sand,20.76,16.53,Medium,0.54,4,222.3,Safe
Sand,32.41,18.62,Fine,1.13,2,182.56,Moderate
Sand,27.26,20.39,Fine,1.73,1,248.25,Safe
Clay,33.11,18.37,Medium,2.47,4,119.34,Moderate
Sand,24.08,14.28,Coarse,2.73,4,305.38,Safe
Sand,30.14,17.01,Fine,2.72,5,221.64,Safe
Clay,36.82,15.76,Fine,0.88,2,50.0,Unsafe
Gravel,11.51,19.05,Coarse,2.18,5,400.0,Safe
Silt,10.94,16.44,Coarse,2.99,1,246.9,Safe
Silt,34.88,19.53,Coarse,0.74,1,184.98,Moderate
Clay,18.92,15.1,Medium,0.97,3,77.18,Unsafe
Silt,10.0,21.22,Medium,1.51,2,219.62,Safe
Sand,14.8,16.89,Fine,1.37,2,184.49,Moderate
Sand,31.92,20.76,Medium,1.03,5,235.26,Safe
Clay,15.64,19.19,Coarse,0.82,4,157.24,Moderate
Clay,39.16,18.11,Coarse,2.53,2,102.71,Moderate
Sand,27.7,21.02,Coarse,2.21,4,354.35,Safe
Silt,30.85,21.59,Medium,1.74,4,279.88,Safe
Silt,22.7,21.18,Fine,2.04,4,249.61,Safe
Silt,14.65,15.3,Medium,0.7,4,152.49,Moderate
Sand,34.45,18.67,Fine,2.93,2,226.23,Safe
Sand,22.71,15.35,Fine,2.94,4,260.68,Safe
Sand,18.4,20.05,Fine,0.59,2,223.91,Safe
Sand,18.14,17.37,Coarse,2.73,4,348.5,Safe
Sand,13.63,18.58,Coarse,2.42,3,300.08,Safe
Silt,35.06,20.21,Fine,2.78,3,247.87,Safe
Sand,12.85,18.1,Coarse,2.28,1,342.23,Safe
Clay,39.2,15.18,Fine,0.73,1,50.0,Unsafe
Sand,18.32,14.06,Coarse,2.17,4,295.87,Safe
Clay,35.7,19.87,Medium,0.62,1,55.79,Unsafe
Gravel,36.18,18.22,Coarse,2.18,3,358.69,Safe
Sand,18.04,16.93,Coarse,1.08,4,238.18,Safe
Sand,21.96,14.93,Coarse,0.77,3,228.05,Safe
Gravel,26.25,20.92,Medium,1.62,4,400.0,Safe
Silt,6.81,21.01,Coarse,2.64,1,257.44,Safe
Silt,23.84,16.91,Coarse,0.74,4,198.66,Moderate
Clay,18.86,20.76,Medium,0.51,4,124.25,Moderate
Silt,31.49,17.16,Coarse,1.77,2,185.15,Moderate
Sand,9.97,18.53,Fine,2.06,5,227.17,Safe
Gravel,31.29,16.74,Fine,2.41,1,280.06,Safe
Clay,9.25,15.76,Fine,2.55,2,122.19,Moderate
Sand,18.63,16.53,Medium,2.93,2,268.77,Safe
Silt,27.1,18.15,Coarse,2.63,1,267.12,Safe
Silt,12.16,21.69,Coarse,1.25,1,232.98,Safe
Clay,6.69,17.28,Medium,2.26,4,175.78,Moderate
Clay,34.03,21.09,Medium,1.48,4,113.14,Moderate
Gravel,18.92,20.11,Coarse,1.82,2,400.0,Safe
Silt,38.3,19.95,Medium,2.2,5,259.14,Safe
Sand,25.07,20.04,Coarse,2.87,3,308.95,Safe
Silt,32.61,14.79,Fine,1.78,2,149.13,Moderate
Silt,23.25,20.01,Fine,1.61,1,182.02,Moderate
Silt,7.67,18.0,Medium,2.19,3,197.28,Moderate
Silt,7.86,14.55,Medium,1.41,1,124.4,Moderate
Silt,19.82,19.76,Medium,2.12,4,247.66,Safe
Sand,10.81,19.28,Medium,2.82,2,296.49,Safe
Clay,7.4,20.49,Medium,1.29,2,204.15,Safe
Gravel,29.77,18.5,Coarse,1.31,2,372.85,Safe
Silt,11.81,14.96,Medium,1.21,2,161.04,Moderate
Silt,6.97,17.86,Medium,1.36,2,217.34,Safe
Clay,29.07,17.24,Coarse,2.17,5,143.97,Moderate
Silt,30.51,16.65,Fine,2.72,4,183.84,Moderate
Sand,15.12,15.94,Medium,2.22,2,232.48,Safe
Silt,10.21,14.47,Coarse,1.61,5,221.63,Safe
Gravel,14.67,15.14,Coarse,1.97,4,361.55,Safe
Sand,17.9,21.53,Coarse,2.32,1,364.64,Safe
Clay,9.78,15.06,Fine,1.65,1,98.1,Unsafe
Silt,21.83,14.74,Fine,1.05,2,119.72,Moderate
Silt,17.98,15.76,Fine,0.73,1,131.76,Moderate
Sand,22.51,14.55,Fine,2.15,1,172.78,Moderate
Clay,16.99,15.29,Medium,2.76,2,140.1,Moderate
Silt,7.78,17.34,Fine,0.93,3,145.24,Moderate
Sand,19.44,16.09,Coarse,2.63,4,273.07,Safe
Sand,26.73,17.14,Coarse,0.87,3,259.35,Safe
Clay,23.08,14.84,Medium,2.73,1,101.21,Moderate
Sand,5.27,17.72,Coarse,1.14,3,297.79,Safe
Silt,30.32,21.73,Coarse,1.19,4,300.46,Safe
Silt,25.46,20.79,Medium,2.07,3,275.24,Safe
Clay,38.49,15.45,Coarse,0.96,1,50.0,Unsafe
Clay,32.8,16.98,Coarse,1.35,3,69.43,Unsafe
Gravel,14.58,15.35,Coarse,0.81,4,368.95,Safe
Clay,5.83,14.18,Medium,1.06,2,91.84,Unsafe
Clay,26.78,17.2,Fine,1.18,3,69.59,Unsafe
Silt,36.71,14.62,Medium,2.89,2,184.57,Moderate
Silt,35.06,16.72,Medium,2.15,4,192.41,Moderate
Sand,31.37,17.07,Fine,1.02,5,195.57,Moderate
Silt,32.52,16.84,Fine,1.58,1,161.72,Moderate
Sand,34.68,19.46,Coarse,1.24,5,338.59,Safe
Silt,30.43,14.53,Coarse,2.58,5,229.33,Safe
Clay,21.09,20.06,Coarse,1.93,4,209.49,Safe
Clay,9.7,15.85,Fine,0.76,1,75.82,Unsafe
Sand,34.39,18.25,Coarse,2.37,4,352.2,Safe
Clay,23.1,15.7,Medium,0.51,1,50.0,Unsafe
Sand,16.73,14.19,Fine,0.62,3,159.73,Moderate
Gravel,12.01,17.91,Fine,0.77,3,244.42,Safe
Sand,12.7,16.52,Coarse,1.1,5,265.63,Safe
Clay,10.16,19.76,Fine,1.65,2,149.31,Moderate
Clay,11.45,14.05,Coarse,2.5,3,156.45,Moderate
Silt,32.5,20.65,Medium,2.34,5,228.56,Safe
Silt,29.1,14.1,Medium,2.43,1,130.59,Moderate
Gravel,27.55,17.19,Coarse,2.72,2,351.76,Safe
Sand,15.4,19.9,Coarse,2.27,5,400.0,Safe
Sand,23.76,16.66,Medium,2.75,5,308.83,Safe
Silt,36.71,17.09,Coarse,0.94,1,167.12,Moderate
Silt,25.66,15.39,Coarse,2.52,1,223.64,Safe
Sand,21.09,17.99,Medium,2.7,4,319.66,Safe
Clay,5.73,20.38,Medium,2.75,4,249.23,Safe
Clay,29.09,19.6,Medium,0.75,1,84.47,Unsafe
Clay,32.09,16.35,Medium,2.22,5,116.69,Moderate
Sand,36.75,15.69,Medium,1.45,4,223.47,Safe
Sand,27.89,21.46,Fine,1.35,2,271.27,Safe
Gravel,16.64,17.15,Coarse,2.61,3,362.61,Safe
Clay,26.79,18.28,Coarse,1.59,5,158.79,Moderate
Clay,27.29,18.94,Medium,1.69,5,151.07,Moderate
Silt,22.75,20.08,Fine,1.51,5,241.71,Safe
Gravel,6.64,21.59,Medium,0.96,5,400.0,Safe
Silt,34.65,15.57,Fine,2.48,3,172.23,Moderate
